PREFE,CNA_COD,Column1,_1,_2,_3,CNA_NUMERO,_4,_5,_6,_7,_8,CNA_NOME
PM_MAGE,101034,1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS                                                                                                                                                                                                                                                               ",,,,,,,,,
PM_MAGE,101035,11,Produção de lavouras temporárias                                                                                                                                                                                                                                                                            ,,,,,,,,,
PM_MAGE,101036,1113,Cultivo de cereais                                                                                                                                                                                                                                                                                          ,,,,,,,,,
PM_MAGE,101037,111301,Cultivo de arroz                                                                                                                                                                                                                                                                                            ,,,,,,,,,
PM_MAGE,101038,111302,Cultivo de milho                                                                                                                                                                                                                                                                                            ,,,,,,,,,
PM_MAGE,101039,111303,Cultivo de trigo                                                                                                                                                                                                                                                                                            ,,,,,,,,,
PM_MAGE,101040,111399,Cultivo de outros cereais não especificados anteriormente                                                                                                                                                                                                                                                   ,,,,,,,,,
PM_MAGE,101041,1121,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária                                                                                                                                                                                                                                        ,,,,,,,,,
PM_MAGE,101042,112101,Cultivo de algodão herbáceo                                                                                                                                                                                                                                                                                 ,,,,,,,,,
PM_MAGE,101043,112102,Cultivo de juta                                                                                                                                                                                                                                                                                             ,,,,,,,,,
PM_MAGE,101044,112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente                                                                                                                                                                                                                              ,,,,,,,,,
PM_MAGE,101045,1130,Cultivo de cana-de-açúcar                                                                                                                                                                                                                                                                                   ,,,,,,,,,
PM_MAGE,101046,113000,Cultivo de cana-de-açúcar                                                                                                                                                                                                                                                                                   ,,,,,,,,,
PM_MAGE,101047,1148,Cultivo de fumo                                                                                                                                                                                                                                                                                             ,,,,,,,,,
PM_MAGE,101048,114800,Cultivo de fumo                                                                                                                                                                                                                                                                                             ,,,,,,,,,
PM_MAGE,101049,1156,Cultivo de soja                                                                                                                                                                                                                                                                                             ,,,,,,,,,
PM_MAGE,101050,115600,Cultivo de soja                                                                                                                                                                                                                                                                                             ,,,,,,,,,
